,dataset,target_coverage,expected_coverage,coverage,mse_expected,mse_filtered,mse_prop_base,comparison_loss
0,0_kin8nm,0.1,0.20585842148087877,0.2039072039072039,0.0176112405147551,0.02212157224010402,0.5234045792838329,0.020314580538748968
1,0_kin8nm,0.2,0.20585842148087877,0.2039072039072039,0.0176112405147551,0.02212157224010402,0.5234045792838329,0.020314580538748968
2,0_kin8nm,0.30000000000000004,0.31570382424735555,0.31013431013431014,0.019061089483280415,0.022923025400069894,0.5453659452256879,0.020314580538748968
3,0_kin8nm,0.4,0.4452807160292921,0.4423076923076923,0.023740934356408713,0.026236732667166866,0.6166582399099129,0.020314580538748968
4,0_kin8nm,0.5,0.5303091944670464,0.5225885225885226,0.025927083878130218,0.02955562830473064,0.7107803218571228,0.020314580538748968
5,0_kin8nm,0.6,0.6796175752644427,0.6736874236874237,0.02918346732257282,0.031277469918377425,0.761007755662543,0.020314580538748968
6,0_kin8nm,0.7000000000000001,0.7207078925956062,0.7103174603174603,0.03071558079199001,0.03275620997330585,0.8018646015508432,0.020314580538748968
7,0_kin8nm,0.8,0.8403173311635476,0.8308913308913309,0.034671626860198056,0.03595024324576614,0.8791778634565943,0.020314580538748968
8,0_kin8nm,0.9,0.926159479251424,0.9126984126984127,0.0372291546280011,0.038338268972027745,0.9361840568918873,0.020314580538748968
9,0_kin8nm,1.0,1.0,1.0,0.04101779816870852,0.0406257046324054,1.0,0.020314580538748968
10,10_wind,0.1,0.12648922686945502,0.13541270445036135,5.439969768946515,9.519779027837329,0.8355964113523799,9.878771014556866
11,10_wind,0.2,0.26185044359949305,0.2731076454925827,6.293660056377241,8.588451376962356,0.7686683076819419,9.878771014556866
12,10_wind,0.30000000000000004,0.3485424588086185,0.36515785469760365,6.65813283048968,8.047150278914591,0.7057668227718259,9.878771014556866
13,10_wind,0.4,0.41546261089987324,0.4229745150247242,6.93908301081815,8.45655298359515,0.7769234169206131,9.878771014556866
14,10_wind,0.5,0.5054499366286439,0.5142639786991251,7.223308918154908,8.788960404693567,0.8165961054313927,9.878771014556866
15,10_wind,0.6,0.6362484157160964,0.6565233929250666,7.957010295278377,9.646423547643703,0.8977375590144518,9.878771014556866
16,10_wind,0.7000000000000001,0.7239543726235741,0.7402054012932674,8.365018946763609,9.44244018607893,0.877030741286731,9.878771014556866
17,10_wind,0.8,0.8306717363751585,0.8383415747432483,9.188059173318539,9.929740472861772,0.9247724414000215,9.878771014556866
18,10_wind,0.9,0.9034220532319391,0.9068086724990491,9.767903085747541,9.973429626335758,0.9347352812237595,9.878771014556866
19,10_wind,1.0,1.0,1.0,10.943989040279847,10.720518837499926,1.0,9.878771014556866
20,11_analcatdata_supreme,0.1,0.25699013157894735,0.25,0.01286025317688495,1.9721522630525295e-31,5.780736863185092e-31,0.007271740757631782
21,11_analcatdata_supreme,0.2,0.25699013157894735,0.25,0.01286025317688495,1.9721522630525295e-31,5.780736863185092e-31,0.007271740757631782
22,11_analcatdata_supreme,0.30000000000000004,0.3569078947368421,0.34629629629629627,0.01646948692075858,0.015119771974615516,0.09189386355402661,0.007271740757631782
23,11_analcatdata_supreme,0.4,0.42804276315789475,0.41790123456790124,0.022523102645941203,0.01808001300736827,0.10880679345795581,0.007271740757631782
24,11_analcatdata_supreme,0.5,0.5234375,0.5253086419753087,0.030553181047723827,0.025829017571570047,0.1555055970528658,0.007271740757631782
25,11_analcatdata_supreme,0.6,0.6796875,0.6814814814814815,0.05020967418793508,0.02934599491503251,0.1638336345318509,0.007271740757631782
26,11_analcatdata_supreme,0.7000000000000001,0.709703947368421,0.7049382716049383,0.053915031928566316,0.029193969456936978,0.15990930610735138,0.007271740757631782
27,11_analcatdata_supreme,0.8,0.8108552631578947,0.8098765432098766,0.06973387555552256,0.03632796504048652,0.18741291425314566,0.007271740757631782
28,11_analcatdata_supreme,0.9,0.9263980263157895,0.937037037037037,0.08858073431790767,0.05801503424749327,0.31618502885798927,0.007271740757631782
