,dataset,target_coverage,expected_coverage,coverage,mse_expected,mse_filtered,mse_prop_base,comparison_loss
0,0_kin8nm,0.1,0.20585842148087877,0.2039072039072039,0.0176112405147551,0.023147677321775476,0.5697790975251555,0.020314580538748968
1,0_kin8nm,0.2,0.20585842148087877,0.2039072039072039,0.0176112405147551,0.023147677321775476,0.5697790975251555,0.020314580538748968
2,0_kin8nm,0.30000000000000004,0.31570382424735555,0.31013431013431014,0.019061089483280415,0.02400355695426934,0.5908465384529656,0.020314580538748968
3,0_kin8nm,0.4,0.4452807160292921,0.4423076923076923,0.023740934356408713,0.027338184453341994,0.6729282532009423,0.020314580538748968
4,0_kin8nm,0.5,0.5303091944670464,0.5225885225885226,0.025927083878130218,0.029806911102552774,0.733695855179754,0.020314580538748968
5,0_kin8nm,0.6,0.6796175752644427,0.6736874236874237,0.02918346732257282,0.031347119932258305,0.7716080303319598,0.020314580538748968
6,0_kin8nm,0.7000000000000001,0.7207078925956062,0.7103174603174603,0.03071558079199001,0.032696514631751224,0.8048233237453956,0.020314580538748968
7,0_kin8nm,0.8,0.8403173311635476,0.8308913308913309,0.034671626860198056,0.03587824570881981,0.8831414995372476,0.020314580538748968
8,0_kin8nm,0.9,0.926159479251424,0.9126984126984127,0.0372291546280011,0.03837842368416044,0.9446832745775344,0.020314580538748968
9,0_kin8nm,1.0,1.0,1.0,0.04101779816870852,0.0406257046324054,1.0,0.020314580538748968
10,10_wind,0.1,0.12648922686945502,0.13541270445036135,5.439969768946515,9.698095046105465,0.9046292621754403,9.878771014556866
11,10_wind,0.2,0.26185044359949305,0.2731076454925827,6.293660056377241,8.860096253485779,0.8264615162554946,9.878771014556866
12,10_wind,0.30000000000000004,0.3485424588086185,0.36515785469760365,6.65813283048968,8.422850033793269,0.7856755966260228,9.878771014556866
13,10_wind,0.4,0.41546261089987324,0.4229745150247242,6.93908301081815,8.677522475237007,0.8094312044752348,9.878771014556866
14,10_wind,0.5,0.5054499366286439,0.5142639786991251,7.223308918154908,8.89844227157001,0.8300383970637348,9.878771014556866
15,10_wind,0.6,0.6362484157160964,0.6565233929250666,7.957010295278377,9.71055808541862,0.9057918028604639,9.878771014556866
16,10_wind,0.7000000000000001,0.7239543726235741,0.7402054012932674,8.365018946763609,9.531335327060376,0.8890740710906795,9.878771014556866
17,10_wind,0.8,0.8306717363751585,0.8383415747432483,9.188059173318539,10.066868788835043,0.9390281330061713,9.878771014556866
18,10_wind,0.9,0.9034220532319391,0.9068086724990491,9.767903085747541,10.055501977600322,0.9379678474540429,9.878771014556866
19,10_wind,1.0,1.0,1.0,10.943989040279847,10.720518837499924,1.0,9.878771014556866
20,11_analcatdata_supreme,0.1,0.25699013157894735,0.25,0.01286025317688495,0.016166486900423625,0.09814523788411306,0.007271740757631782
21,11_analcatdata_supreme,0.2,0.25699013157894735,0.25,0.01286025317688495,0.016166486900423625,0.09814523788411306,0.007271740757631782
22,11_analcatdata_supreme,0.30000000000000004,0.3569078947368421,0.34629629629629627,0.01646948692075858,0.018211472669305402,0.11056015622677838,0.007271740757631782
23,11_analcatdata_supreme,0.4,0.42804276315789475,0.41790123456790124,0.022523102645941203,0.024203346366379348,0.14693626397319745,0.007271740757631782
24,11_analcatdata_supreme,0.5,0.5234375,0.5253086419753087,0.030553181047723827,0.032631335887641444,0.19810180423831253,0.007271740757631782
25,11_analcatdata_supreme,0.6,0.6796875,0.6814814814814815,0.05020967418793508,0.05040632962991623,0.30601213750796474,0.007271740757631782
26,11_analcatdata_supreme,0.7000000000000001,0.709703947368421,0.7049382716049383,0.053915031928566316,0.05363298304924672,0.3256008502171854,0.007271740757631782
27,11_analcatdata_supreme,0.8,0.8108552631578947,0.8098765432098766,0.06973387555552256,0.07060064161347415,0.4286099267333005,0.007271740757631782
28,11_analcatdata_supreme,0.9,0.9263980263157895,0.937037037037037,0.08858073431790767,0.09140046832607962,0.554883739543151,0.007271740757631782
29,11_analcatdata_supreme,1.0,1.0,1.0,0.17536403547798712,0.16472003378821626,1.0,0.007271740757631782
30,12_space_ga,0.1,0.13458445040214478,0.15942028985507245,6376270706366.389,5848197546279.082,0.46523642100755985,10160539402180.172
31,12_space_ga,0.2,0.6112600536193029,0.6006441223832528,9710268722033.428,8823852471373.705,0.7019560318875574,10160539402180.172
32,12_space_ga,0.30000000000000004,0.6112600536193029,0.6006441223832528,9710268722033.428,8823852471373.705,0.7019560318875574,10160539402180.172
33,12_space_ga,0.4,0.6112600536193029,0.6006441223832528,9710268722033.428,8823852471373.705,0.7019560318875574,10160539402180.172
34,12_space_ga,0.5,0.6112600536193029,0.6006441223832528,9710268722033.428,8823852471373.705,0.7019560318875574,10160539402180.172
35,12_space_ga,0.6,0.6112600536193029,0.6006441223832528,9710268722033.428,8823852471373.705,0.7019560318875574,10160539402180.172
36,12_space_ga,0.7000000000000001,0.8042895442359249,0.8059581320450886,11470223271430.137,10520018005406.398,0.8368895693142853,10160539402180.172
37,12_space_ga,0.8,0.8042895442359249,0.8059581320450886,11470223271430.137,10520018005406.398,0.8368895693142853,10160539402180.172
38,12_space_ga,0.9,0.9152815013404826,0.9162640901771336,12867239432018.826,11746706202829.49,0.9344751967054876,10160539402180.172
